Id,Company,ScriptCode,Symbol,url,price,ExchangeName,sname
1003412,Max Healthcare Institute Ltd - <b>INE027H01010</b>,543220,MAXHEALTH,/Stocks?StockId=1003412&Exchange=0,,bse,Max Healthcare
1003414,Max India Ltd - <b>INE0CG601016</b>,543223,MAXIND,/Stocks?StockId=1003414&Exchange=0,,bse,Max India Ltd
1002626,Max Ventures and Industries Ltd - <b>INE154U01015</b>,539940,MAXVIL,/Stocks?StockId=1002626&Exchange=0,,bse,Max Ventures
843438,Mayur Uniquoters Ltd - <b>INE040D01038</b>,522249,MAYURUNIQ,/Stocks?StockId=843438&Exchange=0,,bse,Mayur Uniquoters
709417,Mazda Ltd. - <b>INE885E01034</b>,523792,MAZDA,/Stocks?StockId=709417&Exchange=0,,bse,Mazda
1003428,Mazagon Dock Shipbuilders Ltd - <b>INE249Z01012</b>,543237,MAZDOCK,/Stocks?StockId=1003428&Exchange=0,,bse,Mazagon Dock
222901,Madhya Bharat Agro Products Ltd - <b>INE900L01010</b>,538370,MBAPL,/Stocks?StockId=222901&Exchange=1,,nse,M B Agro Prod.
942129,McNally Bharat Engineering Company Ltd - <b>INE748A01016</b>,532629,MBECL,/Stocks?StockId=942129&Exchange=0,,bse,McNally Bharat
348482,MBL Infrastructures Ltd - <b>INE912H01013</b>,533152,MBLINFRA,/Stocks?StockId=348482&Exchange=0,,bse,MBL Infrast
856997,McDowell Holdings Ltd - <b>INE836H01014</b>,532852,MCDHOLDING,/Stocks?StockId=856997&Exchange=0,,bse,McDowell Hold.
459218,United Spirits Ltd. - <b>INE854D01024</b>,532432,MCDOWELL-N,/Stocks?StockId=459218&Exchange=0,,bse,United Spirits
1002711,Madhav Copper Ltd - <b>INE813V01022</b>,538398,MCL,/Stocks?StockId=1002711&Exchange=1,,nse,Madhav Copper
834364,Mcleod Russel India Ltd - <b>INE942G01012</b>,532654,MCLEODRUSS,/Stocks?StockId=834364&Exchange=0,,bse,Mcleod Russel
765677,Multi Commodity Exchange of India Ltd - <b>INE745G01035</b>,534091,MCX,/Stocks?StockId=765677&Exchange=0,,bse,Multi Comm. Exc.
127310,Megasoft Ltd - <b>INE933B01012</b>,532408,MEGASOFT,/Stocks?StockId=127310&Exchange=0,,bse,Megasoft
636447,Melstar Information Technologies Ltd - <b>INE817A01019</b>,532307,MELSTAR,/Stocks?StockId=636447&Exchange=0,,bse,Melstar Info.
411563,Menon Bearings Ltd - <b>INE071D01033</b>,523828,MENONBE,/Stocks?StockId=411563&Exchange=0,,bse,Menon Bearings
189334,MEP Infrastructure Developers Ltd - <b>INE776I01010</b>,539126,MEP,/Stocks?StockId=189334&Exchange=0,,bse,MEP Infrast.
571507,Mercator Ltd - <b>INE934B01028</b>,526235,MERCATOR,/Stocks?StockId=571507&Exchange=0,,bse,Mercator
432731,Metalyst Forgings Ltd - <b>INE425A01011</b>,513335,METALFORGE,/Stocks?StockId=432731&Exchange=0,,bse,Metalyst Forg.
